# pinax figure data — xlabel=n ylabel=xₙ
series,x,y
r = 2.9,1,0.46399999999999997
r = 2.9,2,0.7212416
r = 2.9,3,0.583051247845376
r = 2.9,4,0.7049972216708452
r = 2.9,5,0.6031308034109796
r = 2.9,6,0.694155708424637
r = 2.9,7,0.6156803265697692
r = 2.9,8,0.6861923799296634
r = 2.9,9,0.6244639532027708
r = 2.9,10,0.6800753006241016
r = 2.9,11,0.6309613697049044
r = 2.9,12,0.6752624469705445
r = 2.9,13,0.6359209165775015
r = 2.9,14,0.6714239628665225
r = 2.9,15,0.6397800923698976
r = 2.9,16,0.6683384247534824
r = 2.9,17,0.6428203067793968
r = 2.9,18,0.665846843917173
r = 2.9,19,0.6452349906518673
r = 2.9,20,0.6638297127220208
r = 2.9,21,0.6471634931653184
r = 2.9,22,0.6621944282102057
r = 2.9,23,0.6487096056269369
r = 2.9,24,0.6608678142634146
r = 2.9,25,0.6499524843689235
r = 2.9,26,0.6597913320516045
r = 2.9,27,0.6509535175834043
r = 2.9,28,0.6589178030346708
r = 2.9,29,0.6517608824480373
r = 2.9,30,0.6582090402199197
r = 2.9,31,0.6524127088188063
r = 2.9,32,0.65763406195249
r = 2.9,33,0.6529393572858397
r = 2.9,34,0.6571677036796834
r = 2.9,35,0.6533651074681602
r = 2.9,36,0.6567895170527109
r = 2.9,37,0.6537094372928952
r = 2.9,38,0.6564828857725944
r = 2.9,39,0.6539880087348153
r = 2.9,40,0.6562343101810707
r = 2.9,41,0.6542134369345105
r = 2.9,42,0.6560328260196526
r = 2.9,43,0.6543958958925303
r = 2.9,44,0.6558695312614745
r = 2.9,45,0.6545435987505518
r = 2.9,46,0.6557372006471625
r = 2.9,47,0.6546631805702978
r = 2.9,48,0.6556299716700504
r = 2.9,49,0.6547600045621399
r = 2.9,50,0.6555430888649866
r = 2.9,51,0.6548384077683828
r = 2.9,52,0.6554726956912809
r = 2.9,53,0.6549018985940105
r = 2.9,54,0.6554156652547155
r = 2.9,55,0.6549533158809592
r = 2.9,56,0.6553694627027374
r = 2.9,57,0.6549949571724417
r = 2.9,58,0.6553320334282275
r = 2.9,59,0.6550286822340508
r = 2.9,60,0.6553017122858438
r = 3.3,1,0.528
r = 3.3,2,0.8224127999999999
r = 3.3,3,0.4819649551073281
r = 3.3,4,0.8239266326138736
r = 3.3,5,0.4787360710553407
r = 3.3,6,0.8235078895752602
r = 3.3,7,0.4796307297624521
r = 3.3,8,0.8236308063389662
r = 3.3,9,0.4793682339216887
r = 3.3,10,0.8235952897540165
r = 3.3,11,0.47944409188174647
r = 3.3,12,0.8236056003167319
r = 3.3,13,0.47942207096403694
r = 3.3,14,0.82360261116075
r = 3.3,15,0.4794284551648167
r = 3.3,16,0.8236034780922104
r = 3.3,17,0.47942660358986033
r = 3.3,18,0.8236032266884991
r = 3.3,19,0.47942714053341323
r = 3.3,20,0.8236032995961147
r = 3.3,21,0.4794269848186739
r = 3.3,22,0.8236032784529514
r = 3.3,23,0.4794270299758552
r = 3.3,24,0.8236032845844725
r = 3.3,25,0.4794270168802649
r = 3.3,26,0.8236032828063318
r = 3.3,27,0.4794270206779853
r = 3.3,28,0.8236032833219925
r = 3.3,29,0.4794270195766466
r = 3.3,30,0.823603283172451
r = 3.3,31,0.47942701989603453
r = 3.3,32,0.8236032832158181
r = 3.3,33,0.4794270198034119
r = 3.3,34,0.8236032832032416
r = 3.3,35,0.4794270198302726
r = 3.3,36,0.8236032832068888
r = 3.3,37,0.479427019822483
r = 3.3,38,0.823603283205831
r = 3.3,39,0.4794270198247423
r = 3.3,40,0.8236032832061377
r = 3.3,41,0.4794270198240871
r = 3.3,42,0.8236032832060488
r = 3.3,43,0.479427019824277
r = 3.3,44,0.8236032832060748
r = 3.3,45,0.47942701982422153
r = 3.3,46,0.8236032832060672
r = 3.3,47,0.47942701982423763
r = 3.3,48,0.8236032832060693
r = 3.3,49,0.47942701982423314
r = 3.3,50,0.8236032832060687
r = 3.3,51,0.4794270198242346
r = 3.3,52,0.8236032832060689
r = 3.3,53,0.47942701982423414
r = 3.3,54,0.823603283206069
r = 3.3,55,0.4794270198242338
r = 3.3,56,0.8236032832060687
r = 3.3,57,0.4794270198242346
r = 3.3,58,0.8236032832060689
r = 3.3,59,0.47942701982423414
r = 3.3,60,0.823603283206069
r = 3.55,1,0.568
r = 3.55,2,0.8710847999999999
r = 3.55,3,0.3986510527918083
r = 3.55,4,0.8510357876942586
r = 3.55,5,0.4500472589404435
r = 3.55,6,0.8786417689952609
r = 3.55,7,0.3785379582410951
r = 3.55,8,0.8351267520617411
r = 3.55,9,0.48879971318654636
r = 3.55,10,0.8870546651923021
r = 3.55,11,0.35566983584270584
r = 3.55,12,0.8135492531858662
r = 3.55,13,0.5384883736843787
r = 3.55,14,0.8822411900735172
r = 3.55,15,0.3688154377696936
r = 3.55,16,0.8264066677451721
r = 3.55,17,0.5092783397427995
r = 3.55,18,0.8871943890612409
r = 3.55,19,0.355285793032198
r = 3.55,20,0.8131551839709645
r = 3.55,21,0.5393650991699952
r = 3.55,22,0.8819988808340443
r = 3.55,23,0.36947283539745845
r = 3.55,24,0.8270174405179146
r = 3.55,25,0.5078615572697482
r = 3.55,26,0.8872805955063953
r = 3.55,27,0.3550487782219521
r = 3.55,28,0.8129114587329317
r = 3.55,29,0.5399067874273822
r = 3.55,30,0.8818464415261513
r = 3.55,31,0.36988619758304503
r = 3.55,32,0.8273999143931358
r = 3.55,33,0.5069730009965542
r = 3.55,34,0.8873273892627123
r = 3.55,35,0.35492010202060637
r = 3.55,36,0.812778972368125
r = 3.55,37,0.5402010662774059
r = 3.55,38,0.8817627536590665
r = 3.55,39,0.3701130597111964
r = 3.55,40,0.8276093087355653
r = 3.55,41,0.506486099945808
r = 3.55,42,0.8873506533016
r = 3.55,43,0.354856123423224
r = 3.55,44,0.8127130555775429
r = 3.55,45,0.5403474342933158
r = 3.55,46,0.8817209001381102
r = 3.55,47,0.37022649811201563
r = 3.55,48,0.8277138756374391
r = 3.55,49,0.5062428357871462
r = 3.55,50,0.8873616458547382
r = 3.55,51,0.3548258913885147
