key	file	read_sha256	result_sha256	observation	completed_at
model.gamma=0.03;model.u_over_gamma=0.0;#sample=1	data/kondo-thermo/sweep/modu_over_gamma0.00/data_sample001.jld2	87837570bd52345a1b566d5a51cf679792519d918cb0ec3e299ca5b87f60c025	87837570bd52345a1b566d5a51cf679792519d918cb0ec3e299ca5b87f60c025	obs1-20260925T082348Z-2e3bf8-37b353e031bcca5f	2026-09-25T08:24:02Z
model.gamma=0.03;model.u_over_gamma=2.0;#sample=1	data/kondo-thermo/sweep/modu_over_gamma2.00/data_sample001.jld2	e4b9e8b1309f4457039fb24b416e7d03b910abfe0e8f4ce91ae0aecb00f271ba	e4b9e8b1309f4457039fb24b416e7d03b910abfe0e8f4ce91ae0aecb00f271ba	obs1-20260925T082348Z-2e3bf8-37b353e031bcca5f	2026-09-25T08:24:10Z
model.gamma=0.03;model.u_over_gamma=4.0;#sample=1	data/kondo-thermo/sweep/modu_over_gamma4.00/data_sample001.jld2	4321024639d6bb59cd5288891752e595fcb12508dc3a69830bf029eb3af226fc	4321024639d6bb59cd5288891752e595fcb12508dc3a69830bf029eb3af226fc	obs1-20260925T082348Z-2e3bf8-37b353e031bcca5f	2026-09-25T08:24:17Z
model.gamma=0.03;model.u_over_gamma=6.0;#sample=1	data/kondo-thermo/sweep/modu_over_gamma6.00/data_sample001.jld2	f663e6982342e709424c597553f118f41777b77b050fe3279fa0d27e6766cd99	f663e6982342e709424c597553f118f41777b77b050fe3279fa0d27e6766cd99	obs1-20260925T082348Z-2e3bf8-37b353e031bcca5f	2026-09-25T08:24:25Z
model.gamma=0.03;model.u_over_gamma=8.0;#sample=1	data/kondo-thermo/sweep/modu_over_gamma8.00/data_sample001.jld2	b32f4297081ec1093f96578749d47c577910a67961258309239958ce0df2b0ac	b32f4297081ec1093f96578749d47c577910a67961258309239958ce0df2b0ac	obs1-20260925T082348Z-2e3bf8-37b353e031bcca5f	2026-09-25T08:24:33Z
