# pinax figure data — xlabel=T / D ylabel=T χ_imp
series,x,y
U/Γ = 0.0,0.75,0.12286513400533591
U/Γ = 0.0,0.5303300858899107,0.12110812932651988
U/Γ = 0.0,0.375,0.1184756642758889
U/Γ = 0.0,0.26516504294495535,0.11409253379943307
U/Γ = 0.0,0.1875,0.10761865064351694
U/Γ = 0.0,0.13258252147247768,0.10181614895662755
U/Γ = 0.0,0.09375,0.09073903065034389
U/Γ = 0.0,0.06629126073623884,0.08739334390765646
U/Γ = 0.0,0.046875,0.07520696463705717
U/Γ = 0.0,0.03314563036811942,0.06685667204446788
U/Γ = 0.0,0.0234375,0.048916540009900034
U/Γ = 0.0,0.01657281518405971,0.044099603634698614
U/Γ = 0.0,0.01171875,0.031183099067493503
U/Γ = 0.0,0.008286407592029855,0.025484411649383865
U/Γ = 0.0,0.005859375,0.011941775668517007
U/Γ = 0.0,0.004143203796014927,0.014953741041377921
U/Γ = 0.0,0.0029296875,0.005236412405325075
U/Γ = 2.0,0.75,0.12546917433453528
U/Γ = 2.0,0.5303300858899107,0.12473098364421814
U/Γ = 2.0,0.375,0.12345482694412807
U/Γ = 2.0,0.26516504294495535,0.12091147032606075
U/Γ = 2.0,0.1875,0.11570131954167084
U/Γ = 2.0,0.13258252147247768,0.11411720048577417
U/Γ = 2.0,0.09375,0.10683184343761903
U/Γ = 2.0,0.06629126073623884,0.10410008157549505
U/Γ = 2.0,0.046875,0.09410889565914088
U/Γ = 2.0,0.03314563036811942,0.08708369502609192
U/Γ = 2.0,0.0234375,0.07068384405897199
U/Γ = 2.0,0.01657281518405971,0.06341334754240402
U/Γ = 2.0,0.01171875,0.047733508332103936
U/Γ = 2.0,0.008286407592029855,0.03951962054818936
U/Γ = 2.0,0.005859375,0.024100279537161873
U/Γ = 2.0,0.004143203796014927,0.022636984783421632
U/Γ = 2.0,0.0029296875,0.010538342162021042
U/Γ = 4.0,0.75,0.12807154189289202
U/Γ = 4.0,0.5303300858899107,0.1283497934215137
U/Γ = 4.0,0.375,0.12842428970464853
U/Γ = 4.0,0.26516504294495535,0.12743599075808676
U/Γ = 4.0,0.1875,0.12450517809854877
U/Γ = 4.0,0.13258252147247768,0.1263705398808343
U/Γ = 4.0,0.09375,0.12083348594428528
U/Γ = 4.0,0.06629126073623884,0.12148263001519072
U/Γ = 4.0,0.046875,0.11325674142864445
U/Γ = 4.0,0.03314563036811942,0.10757308604192994
U/Γ = 4.0,0.0234375,0.09417653900822437
U/Γ = 4.0,0.01657281518405971,0.08478346379784679
U/Γ = 4.0,0.01171875,0.06652763242223814
U/Γ = 4.0,0.008286407592029855,0.05800832011281365
U/Γ = 4.0,0.005859375,0.04205176523872517
U/Γ = 4.0,0.004143203796014927,0.0346743027732237
U/Γ = 4.0,0.0029296875,0.0187525917744778
U/Γ = 6.0,0.75,0.13066994390479028
U/Γ = 6.0,0.5303300858899107,0.13195830654860274
U/Γ = 6.0,0.375,0.13336746435353214
U/Γ = 6.0,0.26516504294495535,0.13420945111841243
U/Γ = 6.0,0.1875,0.13329990141077064
U/Γ = 6.0,0.13258252147247768,0.1379606216001697
U/Γ = 6.0,0.09375,0.13601187340157667
U/Γ = 6.0,0.06629126073623884,0.1372024836951659
U/Γ = 6.0,0.046875,0.13100601093503544
U/Γ = 6.0,0.03314563036811942,0.12765413838935535
U/Γ = 6.0,0.0234375,0.11501868034144763
U/Γ = 6.0,0.01657281518405971,0.10656328124261477
U/Γ = 6.0,0.01171875,0.08978356184859448
U/Γ = 6.0,0.008286407592029855,0.07905881285548
U/Γ = 6.0,0.005859375,0.060937156750241084
U/Γ = 6.0,0.004143203796014927,0.051784330644872256
U/Γ = 6.0,0.0029296875,0.03433576635292812
U/Γ = 8.0,0.75,0.13326210248881168
U/Γ = 8.0,0.5303300858899107,0.1355503486009122
U/Γ = 8.0,0.375,0.13826814247765012
U/Γ = 8.0,0.26516504294495535,0.1408125592765035
U/Γ = 8.0,0.1875,0.1418176083452296
U/Γ = 8.0,0.13258252147247768,0.14858157700832214
U/Γ = 8.0,0.09375,0.1479878083601855
U/Γ = 8.0,0.06629126073623884,0.15223616745672136
U/Γ = 8.0,0.046875,0.14658168777522312
U/Γ = 8.0,0.03314563036811942,0.1448675884148547
U/Γ = 8.0,0.0234375,0.13319969120995728
U/Γ = 8.0,0.01657281518405971,0.12562445009176088
U/Γ = 8.0,0.01171875,0.11147570630581338
U/Γ = 8.0,0.008286407592029855,0.10019555891302656
U/Γ = 8.0,0.005859375,0.08125607543221619
U/Γ = 8.0,0.004143203796014927,0.07273872981943025
U/Γ = 8.0,0.0029296875,0.05450687089464107
"1/4, 1/8",1.0,0.25
"1/4, 1/8",2.0,0.25
"1/4, 1/8",,0.25
"1/4, 1/8",1.0,0.125
"1/4, 1/8",2.0,0.125
"1/4, 1/8",,0.125
0.0701 (T_K),1.0,0.0701
0.0701 (T_K),2.0,0.0701
0.0701 (T_K),,0.0701
